DTL_ADRES,XCORD,LO,CHCK_MATTER_WKEND_HDAY_OPN_AT,WKEND_HDAY_OPER_BEGIN_TIME,MODF_TIME,ARCD,WKDAY_OPER_BEGIN_TIME,YEAR,USE_PSBL_NMPR,CHCK_MATTER_NIGHT_OPN_AT,RSTR_NM,WKEND_HDAY_OPER_END_TIME,CHCK_MATTER_STAYNG_PSBL_AT,MNGDPT_CD,COLR_HOLD_ARCNDTN,OPER_END_DE,RN_DTL_ADRES,OPER_BEGIN_DE,FCLTY_OPRN_AT,INPT_TIME,DTL_POSITION,WKDAY_OPER_END_TIME,FCLTY_SCLAS,COLR_HOLD_ELEFN,AR,YCORD,USE_AT,LA,RSTR_FCLTY_NO,RM,FCLTY_TY
"541-2",927312.727196,126.6785216,,,"2025-05-12 13:13:42.000","2818576100","1800","2025",4,,"문남공원정자4",,,"3520222",,,"인천광역시 연수구 새말로55번길 37 (연수동)",,"Y","2023-05-01 20:06:13.000",,"2400","001",,16,1936118.352222,"Y",37.4213586,2818500112,,"002"
"541-2",927322.088847,126.6786289,,,"2025-05-12 13:12:54.000","2818576100","1800","2025",4,,"문남공원정자6",,,"3520222",,,"인천광역시 연수구 새말로55번길 37 (연수동)",,"Y","2023-05-01 20:09:55.000",,"2400","001",,16,1936103.144319,"Y",37.4212223,2818500115,,"002"
"617-31 영남아파트",,126.691063,"N","1300","2024-07-24 13:56:13.000","2820053000","1300","2025",25,"N","영남아파트경로당","1700","N","3530199",1,"20230930","인천광역시 남동구 경원대로 950 (간석동, 영남아파트)","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",1,59,,"Y",37.467441,28200068,,"003"
"124-1",930201.387102,126.7102815,"N","1300","2025-05-02 13:31:03.000","2823758200","1300","2025",30,,"현대5차아파트경로당","1700",,"3540031",1,"20230930","인천광역시 부평구 안남로 260 (산곡동, 현대아파트)","20230520","Y","2021-01-31 17:11:45.000",,"1700","001",3,120,1945443.927763,"Y",37.5056311,28237042,,"003"
"10-107",927299.115259,126.6778434,"N",,"2025-05-13 09:48:55.000","2817766000","1300","2025",13,"N","주안5동분회경로당",,"N","3510566",1,"20200904","인천광역시 미추홀구 길파로35번길 34","20200518","Y","2021-03-05 11:57:13.000",,"1700","001",3,110,1941437.071636,"Y",37.4692942,28177052,,"003"
"20-1",928099.689749,126.6869334,"N",,"2025-05-13 09:48:56.000","2817766000","0900","2025",10,"N","주안5동행정복지센터",,"N","3510566",1,"20200930","인천광역시 미추홀구 석정로 462","20200727","Y","2021-03-05 11:57:13.000",,"1800","001",1,30,1941054.618901,"Y",37.4659099,28177053,,"001"
"992-5",928177.291622,126.6878695,"N",,"2025-05-13 09:49:00.000","2817767000","0900","2025",10,"N","주안6동분회경로당",,"N","3510566",1,"20200904","인천광역시 미추홀구 주안동로26번길 35","20200518","Y","2021-03-05 11:57:13.000",,"1800","001",2,86,1940453.119303,"Y",37.4604947,28177054,,"003"
"664-4",932327.608215,126.7353764,"N","1300","2024-10-30 15:56:11.000","2820069000","1000","2025",33,,"성화경로당","1700",,"3530199",2,"20230930","인천광역시 남동구 앵고개로941번길 18-16 (논현동)","20230520","Y","2021-03-08 09:03:04.000",,"1800","001",2,254,1934113.794663,"Y",37.4036718,28200179,,"003"
"409-27",,126.713209,"N","1100","2025-05-02 13:32:09.000","2823758200","1300","2025",45,"N","산곡4동부곡경로당","1800","N","3540031",1,"20230930","인천광역시 부평구 원적로421번길 9-4","20230520","Y","2021-01-31 17:11:45.000",,"1800","001",2,180,,"Y",37.504302,28237043,,"003"
"294-35",930674.315565,126.7156636,"N","1300","2025-05-02 13:33:10.000","2823758200","1300","2025",60,,"우성아파트경로당","1700",,"3540031",1,"20230930","인천광역시 부평구 부영로 165 (산곡동, 우성상가, 우성아파트)","20230520","Y","2021-01-31 17:11:45.000",,"1700","001",2,240,1945107.058762,"Y",37.5026306,28237044,,"003"
"142-3",,126.710221,"Y","1300","2025-05-02 13:22:46.000","2823758200","1000","2025",35,"N","경남1차아파트경로당","1700","N","3540031",1,"20230930","인천광역시 부평구 안남로222번길 27","20230520","Y","2021-01-31 17:11:45.000",,"1800","001",2,140,,"Y",37.503116,28237038,,"003"
"284-13",,126.711411,"N",,"2025-05-01 17:24:30.000","2823758200","0900","2025",50,"N","산곡4동행정복지센터",,"N","3540031",1,"20230930","인천광역시 부평구 부흥로173번길 68","20230520","Y","2021-01-31 17:11:45.000",,"1800","001",2,200,,"Y",37.501652,28237045,,"001"
"137-8",930323.918864,126.711706,"N","1300","2025-05-02 13:33:52.000","2823758200","1300","2025",25,,"한신2차아파트경로당","1700",,"3540031",1,"20230930","인천광역시 부평구 원적로416번길 38 (산곡동, 부평산곡 한신아파트)","20230520","Y","2021-01-31 17:11:45.000",,"1700","001",2,100,1945039.604978,"Y",37.5019963,28237046,,"003"
"36-1",,126.7022727,,,"2025-05-01 17:25:42.000","2823759100","0900","2025",50,,"청천1동행정복지센터",,,"3540032",4,"20230930","인천광역시 부평구 산청로127번길 3","20230520","Y","2021-01-31 17:11:45.000",,"1800","001",0,443,,"Y",37.5202988,28237048,,"001"
"1092-43 대우재경로당",,126.699764,"N",,"2024-07-24 13:56:13.000","2820052100","0800","2025",60,"N","대우재경로당",,"N","3530199",1,"20230930","인천광역시 남동구 구월남로94번길 3 , 대우재경로당 (구월동)","20230520","Y","2021-03-08 09:03:04.000",,"1500","001",1,186.1,,"Y",37.453292,28200025,,"003"
"1350",,126.698023,"N",,"2024-07-24 13:56:13.000","2820052100","0800","2025",79,"N","구월3동경로당",,"N","3530199",1,"20230930","인천광역시 남동구 문화서로28번길 33-31 (구월동)","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",1,182,,"Y",37.44875,28200026,,"003"
"310-6",,126.715093,"N","1300","2024-07-24 13:56:14.000","2820071000","0900","2025",68,"N","고잔경로당","1700","N","3530199",1,"20230930","인천광역시 남동구 앵고개로697번길 59","20230520","Y","2021-03-08 09:03:04.000",,"1800","001",1,219,,"Y",37.391577,28200200,,"003"
"344-5",,126.715714,"N","1300","2024-07-24 13:56:14.000","2820071000","0900","2025",47,"N","동촌경로당","1700","N","3530199",1,"20230930","인천광역시 남동구 고잔로 100-14","20230520","Y","2021-03-08 09:03:04.000",,"1800","001",1,132,,"Y",37.388304,28200201,,"003"
"755-4",,126.733611,"N","1300","2024-07-24 13:56:14.000","2820069000","0900","2025",74,"N","에코메트로한화12단지경로당","1700","N","3530199",1,"20230930","인천광역시 남동구 논고개로 10","20230520","Y","2021-03-08 09:03:04.000",,"1800","001",1,331,,"Y",37.396444,28200202,,"003"
"774-1",,126.730519,"N","1300","2024-07-24 13:56:14.000","2820069000","0900","2025",45,"N","에코메트로한화11단지경로당","1700","N","3530199",1,"20230930","인천광역시 남동구 논고개로 17","20230520","Y","2021-03-08 09:03:04.000",,"1800","001",1,238,,"Y",37.393627,28200203,,"003"
"756-1",,126.727239,"N","1300","2024-07-24 13:56:14.000","2820069000","0900","2025",29,"N","에코메트로6단지","1700","N","3530199",1,"20230930","인천광역시 남동구 아암대로1503번길 98","20230520","Y","2021-03-08 09:03:04.000",,"1800","001",1,246,,"Y",37.394546,28200204,,"003"
"3020-0",,126.62585,"N","0900","2025-04-30 15:41:50.000","4157025600","1300","2025",55,"N","원님마을경로당","1800","N","4090449",2,"20230930","경기도 김포시 양촌읍 황금로89번길 49 (양촌휴먼시아 원님마을)","20230520","Y","2021-03-09 15:48:45.000",,"1700","001",0,113.53,,"Y",37.61694,41570053,,"003"
"603-1",,126.727663,"N",,"2024-07-24 13:56:14.000","2820069000","0900","2025",58,"N","동산마을주공8단지",,"N","3530199",1,"20230930","인천광역시 남동구 소래역로 119","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",2,159,,"Y",37.405553,28200176,,"003"
"755-1",,126.731098,"N","1300","2024-07-24 13:56:14.000","2820069000","0900","2025",38,"N","에코메트로5단지","1700","N","3530199",1,"20230930","인천광역시 남동구 소래역남로 39","20230520","Y","2021-03-08 09:03:04.000",,"1800","001",1,357,,"Y",37.39812,28200205,,"003"
"757-1",,126.725305,"N","1300","2024-07-24 13:56:14.000","2820069000","0900","2025",24,"N","에코메트로7단지","1700","N","3530199",1,"20230930","인천광역시 남동구 에코중앙로 163","20230520","Y","2021-03-08 09:03:04.000",,"1800","001",1,139,,"Y",37.392769,28200207,,"003"
"773-1",,126.728256,"N","1300","2024-07-24 13:56:14.000","2820069000","0900","2025",21,"N","에코메트로10단지경로당","1700","N","3530199",1,"20230930","인천광역시 남동구 아암대로1503번길 21","20230520","Y","2021-03-08 09:03:04.000",,"1800","001",1,269,,"Y",37.39053,28200208,,"003"
"346-0",,126.651493,"N",,"2025-05-14 18:03:36.000","2814061000","0900","2025",5,"N","송림새마을금고본점",,"N","3500144",1,"20231231","인천광역시 동구 송림로162번길 10 (송림동, 송림파인앤유)","20210601","Y","2021-04-28 15:57:38.000",,"1600","001",2,132,,"Y",37.4775593,2814058,,"004"
"304-1",,126.458608,"Y","0900","2024-09-04 08:45:34.000","2871039000","0900","2025",42,"Y","당산리경로당","1800",,"3570171",1,"20241015","인천광역시 강화군 송해면전망대로468번길 11 ","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",1,168.19,,"Y",37.801975,28710199,,"003"
"대룡리 444 대룡1리복지회관",,126.2788899,"N","0900","2024-05-10 19:49:56.000","2871040000","0900","2025",70,"N","대룡1리경로당","1800","N","3570171",1,"20241015","인천광역시 강화군 교동면 교동서로 9-23, 대룡1리복지회관","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",2,275,,"Y",37.7798548,28710200,,"003"
"2104-0",934445.631521,126.7565476,"N",,"2025-05-08 10:44:17.000","4128757000","1800","2025",10,"N","성저공원내파고라",,"N","3940437",,,"경기도 고양시 일산서구 일산로 655",,"Y","2021-07-19 16:39:34.000","축구장 앞 파고라","0900","001",,25,1964989.200185,"Y",37.6820993,4128700055,,"002"
"715-3",,126.2842745,"N","0900","2024-05-10 19:49:56.000","2871040000","0900","2025",53,"N","대룡2리경로당","1800","N","3570171",1,"20241015","인천광역시 강화군 교동면 교동남로 91-5 ","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",1,128,,"Y",37.7760002,28710201,,"003"
"956-19",,126.722953,"N",,"2025-05-12 13:33:26.000","2824561100","0900","2025",30,"N","신한은행(계산동지점)",,"N","3550180",10,"20240930","인천광역시 계양구 계양대로 178 (계산동)","20240520","Y","2022-06-07 16:13:59.000",,"1500","001",0,548.76,,"Y",37.5397266,2824500057,,"004"
